Rank,Company,Symbol,Weight
1,Apple Inc.,AAPL,3.905733
2,Microsoft Corporation,MSFT,3.107354
3,Amazon.com Inc.,AMZN,2.620949
4,Facebook Inc. Class A,FB,1.8503479999999999
5,JPMorgan Chase & Co.,JPM,1.717904
6,Berkshire Hathaway Inc. Class B,BRK.B,1.682404
7,Johnson & Johnson,JNJ,1.4998479999999998
8,Alphabet Inc. Class C,GOOG,1.416685
9,Alphabet Inc. Class A,GOOGL,1.403478
10,Exxon Mobil Corporation,XOM,1.3901620000000001
11,Bank of America Corporation,BAC,1.341072
12,Wells Fargo & Company,WFC,1.098096
13,Intel Corporation,INTC,1.001633
14,AT&T Inc.,T,0.969309
15,UnitedHealth Group Incorporated,UNH,0.9519639999999999
16,Visa Inc. Class A,V,0.9509610000000001
17,Cisco Systems Inc.,CSCO,0.9469879999999999
18,Pfizer Inc.,PFE,0.926161
19,Chevron Corporation,CVX,0.924473
20,Home Depot Inc.,HD,0.913107
21,Procter & Gamble Company,PG,0.8800600000000001
22,Verizon Communications Inc.,VZ,0.8643700000000001
23,Boeing Company,BA,0.8493139999999999
24,Citigroup Inc.,C,0.847037
25,AbbVie Inc.,ABBV,0.793095
26,Comcast Corporation Class A,CMCSA,0.738095
27,Coca-Cola Company,KO,0.723605
28,Philip Morris International Inc.,PM,0.719541
29,Mastercard Incorporated Class A,MA,0.71455
30,DowDuPont Inc.,DWDP,0.7011229999999999
31,Walt Disney Company,DIS,0.6721699999999999
32,Oracle Corporation,ORCL,0.672039
33,PepsiCo Inc.,PEP,0.670269
34,Merck & Co. Inc.,MRK,0.640048
35,NVIDIA Corporation,NVDA,0.61412
36,3M Company,MMM,0.59643
37,Amgen Inc.,AMGN,0.59465
38,Netflix Inc.,NFLX,0.5862890000000001
39,International Business Machines Corporation,IBM,0.583272
40,Walmart Inc.,WMT,0.5665439999999999
41,General Electric Company,GE,0.537895
42,Altria Group Inc,MO,0.527374
43,McDonald's Corporation,MCD,0.51808
44,Honeywell International Inc.,HON,0.486683
