Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-03-06,34.67,34.7,34.15,34.27,6412100.0,0.0,1.0,31.281391787851,31.308459620376,30.812216024088,30.920487354187,6412100.0
2013-03-07,34.3,34.54,34.16,34.43,5666000.0,0.0,1.0,30.947555186712,31.164097846911,30.82123863493,31.064849127653,5666000.0
2013-03-08,34.5,34.68,34.35,34.68,5152100.0,0.0,1.0,31.128007403544,31.290414398693,30.99266824092,31.290414398693,5152100.0
2013-03-11,34.59,34.95,34.515,34.93,4903400.0,0.0,1.0,31.209210901119,31.534024891416,31.141541319807,31.515979669733,4903400.0
2013-03-12,34.83,35.0,34.8,34.98,4980100.0,0.0,1.0,31.425753561317,31.579137945625,31.398685728792,31.561092723941,4980100.0
2013-03-13,34.89,35.03,34.71,35.01,4442400.0,0.0,1.0,31.479889226367,31.606205778149,31.317482231218,31.588160556466,4442400.0
2013-03-14,35.03,35.14,34.93,35.14,6809800.0,0.0,1.0,31.606205778149,31.705454497407,31.515979669733,31.705454497407,6809800.0
2013-03-15,34.92,35.09,34.13,34.14,13695200.0,0.0,1.0,31.506957058892,31.660341443199,30.794170802405,30.803193413246,13695200.0
2013-03-18,33.94,34.01,33.44,33.46,8895900.0,0.0,1.0,30.622741196414,30.685899472305,30.171610654334,30.189655876017,8895900.0
2013-03-19,33.515,33.74,33.27,33.54,7540600.0,0.0,1.0,30.239280235646,30.442288979582,30.018226270027,30.26183676275,7540600.0
2013-03-20,33.66,33.82,33.5,33.81,6664900.0,0.0,1.0,30.370108092849,30.514469866315,30.225746319383,30.505447255473,6664900.0
2013-03-21,33.78,33.82,33.32,33.48,5889800.0,0.0,1.0,30.478379422948,30.514469866315,30.063339324235,30.2077010977,5889800.0
2013-03-22,33.5,33.69,33.33,33.69,5058700.0,0.0,1.0,30.225746319383,30.397175925374,30.072361935076,30.397175925374,5058700.0
2013-03-25,33.76,34.08,33.57,33.8,7022200.0,0.0,1.0,30.460334201265,30.749057748197,30.288904595275,30.496424644632,7022200.0
2013-03-26,33.85,34.35,33.85,34.35,5855400.0,0.0,1.0,30.54153769884,30.99266824092,30.54153769884,30.99266824092,5855400.0
2013-03-27,34.13,34.64,34.06,34.61,8637100.0,0.0,1.0,30.794170802405,31.254323955327,30.731012526513,31.227256122802,8637100.0
2013-03-28,34.6,35.34,34.53,35.32,11468200.0,0.0,1.0,31.21823351196,31.885906714239,31.155075236069,31.867861492556,11468200.0
2013-04-01,35.18,35.31,34.95,35.31,6024900.0,0.0,1.0,31.741544940773,31.858838881714,31.534024891416,31.858838881714,6024900.0
2013-04-02,35.45,36.15,35.34,36.12,10956900.0,0.0,1.0,31.985155433497,32.616738192409,31.885906714239,32.589670359884,10956900.0
2013-04-03,36.13,36.39,35.9,36.32,10143200.0,0.0,1.0,32.598692970726,32.833280852608,32.391172921369,32.770122576717,10143200.0
2013-04-04,36.52,36.89,36.45,36.65,7713000.0,0.0,1.0,32.950574793549,33.284411394688,32.887416517658,33.06786873449,7713000.0
2013-04-05,36.37,36.55,36.19,36.31,8250200.0,0.0,1.0,32.815235630925,32.977642626074,32.652828635776,32.761099965875,8250200.0
2013-04-08,36.31,36.55,35.93,36.55,5584300.0,0.0,1.0,32.761099965875,32.977642626074,32.418240753894,32.977642626074,5584300.0
2013-04-09,36.56,36.75,36.4001,36.66,5444700.0,0.0,1.0,32.986665236915,33.158094842906,32.842393689558,33.076891345331,5444700.0
2013-04-10,36.73,37.14,36.66,37.1,6689200.0,0.0,1.0,33.140049621223,33.509976665728,33.076891345331,33.473886222362,6689200.0
2013-04-11,37.02,37.55,37.0,37.27,6812200.0,0.14,1.0,33.527174580249,34.007169246039,33.509061573993,33.753587158452,6812200.0
2013-04-12,37.11,37.25,36.93,37.13,5373100.0,0.0,1.0,33.608683108402,33.735474152196,33.445666052096,33.626796114658,5373100.0
2013-04-15,36.84,37.09,36.11,36.13,8227700.0,0.0,1.0,33.364157523943,33.590570102146,32.703032795591,32.721145801848,8227700.0
2013-04-16,36.28,36.48,35.9,36.4,7866000.0,0.0,1.0,32.856993348769,33.038123411331,32.512846229901,32.965671386307,7866000.0
2013-04-17,36.84,37.48,36.46,37.28,14361800.0,0.0,1.0,33.364157523943,33.943773724142,33.020010405075,33.76264366158,14361800.0
2013-04-18,37.45,37.47,36.61,36.88,7750800.0,0.0,1.0,33.916604214758,33.934717221014,33.155857951997,33.400383536456,7750800.0
2013-04-19,37.05,37.3,36.91,37.2,6665900.0,0.0,1.0,33.554344089633,33.780756667836,33.42755304584,33.690191636555,6665900.0
2013-04-22,37.0,37.22,36.561,36.89,5354200.0,0.0,1.0,33.509061573993,33.708304642811,33.111481086669,33.409440039584,5354200.0
2013-04-23,37.11,37.34,36.86,37.21,5291200.0,0.0,1.0,33.608683108402,33.816982680349,33.382270530199,33.699248139683,5291200.0
2013-04-24,37.27,37.35,36.39,36.52,5434100.0,0.0,1.0,33.753587158452,33.826039183477,32.956614883178,33.074349423844,5434100.0
2013-04-25,36.62,36.82,36.45,36.49,5321400.0,0.0,1.0,33.164914455125,33.346044517687,33.010953901947,33.04717991446,5321400.0
2013-04-26,36.36,36.7,36.25,36.46,6126800.0,0.0,1.0,32.929445373794,33.23736648015,32.829823839385,33.020010405075,6126800.0
2013-04-29,36.49,36.79,36.4,36.73,3111800.0,0.0,1.0,33.04717991446,33.318875008303,32.965671386307,33.264535989534,3111800.0
2013-04-30,36.7,36.98,36.48,36.92,6425500.0,0.0,1.0,33.23736648015,33.490948567737,33.038123411331,33.436609548968,6425500.0
2013-05-01,36.77,37.2,36.62,36.89,5458500.0,0.0,1.0,33.300762002046,33.690191636555,33.164914455125,33.409440039584,5458500.0
2013-05-02,36.95,37.15,36.83,37.06,4202800.0,0.0,1.0,33.463779058352,33.644909120915,33.355101020815,33.563400592762,4202800.0
