Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-03-06,11.77,12.02,11.76,11.92,182557500.0,0.0,1.0,11.218895412468,11.457189707551,11.209363640665,11.361871989518,182557500.0
2013-03-07,12.0,12.28,11.98,12.26,212403800.0,0.0,1.0,11.438126163944,11.705015774436,11.419062620337,11.685952230829,212403800.0
2013-03-08,12.42,12.44,12.02,12.07,209777100.0,0.0,1.0,11.838460579682,11.857524123289,11.457189707551,11.504848566567,209777100.0
2013-03-11,12.08,12.2214,12.02,12.15,106427800.0,0.0,1.0,11.51438033837,11.649159591669,11.457189707551,11.581102740993,106427800.0
2013-03-12,12.1099,12.18,11.91,12.01,128134700.0,0.0,1.0,11.542880336062,11.609698056403,11.352340217714,11.447657935747,128134700.0
2013-03-13,12.04,12.11,11.98,12.06,86216800.0,0.0,1.0,11.476253251157,11.54297565378,11.419062620337,11.495316794764,86216800.0
2013-03-14,12.12,12.19,12.1,12.11,115440000.0,0.0,1.0,11.552507425583,11.619229828206,11.533443881977,11.54297565378,115440000.0
2013-03-15,12.52,12.66,12.35,12.57,319019100.0,0.0,1.0,11.933778297715,12.067223102961,11.771738177059,11.981437156731,319019100.0
2013-03-18,12.29,12.68,12.26,12.56,189783300.0,0.0,1.0,11.714547546239,12.086286646567,11.685952230829,11.971905384928,189783300.0
2013-03-19,12.79,12.94,12.59,12.71,242939600.0,0.0,1.0,12.191136136404,12.334112713453,12.000500700338,12.114881961977,242939600.0
2013-03-20,12.785,12.89,12.71,12.78,219121700.0,0.0,1.0,12.186370250502,12.286453854436,12.114881961977,12.1816043646,219121700.0
2013-03-21,12.71,12.84,12.55,12.57,154529400.0,0.0,1.0,12.114881961977,12.23879499542,11.962373613125,11.981437156731,154529400.0
2013-03-22,12.62,12.67,12.48,12.56,101974400.0,0.0,1.0,12.029096015748,12.076754874764,11.895651210502,11.971905384928,101974400.0
2013-03-25,12.68,12.72,12.32,12.4,154320200.0,0.0,1.0,12.086286646567,12.124413733781,11.743142861649,11.819397036075,154320200.0
2013-03-26,12.45,12.5,12.15,12.28,135654700.0,0.0,1.0,11.867055895092,11.914714754108,11.581102740993,11.705015774436,135654700.0
2013-03-27,12.14,12.28,12.12,12.23,107177200.0,0.0,1.0,11.57157096919,11.705015774436,11.552507425583,11.65735691542,107177200.0
2013-03-28,12.24,12.28,12.11,12.18,92013900.0,0.0,1.0,11.666888687223,11.705015774436,11.54297565378,11.609698056403,92013900.0
2013-04-01,12.15,12.28,12.1,12.15,86281600.0,0.0,1.0,11.581102740993,11.705015774436,11.533443881977,11.581102740993,86281600.0
2013-04-02,12.24,12.245,12.14,12.15,102626000.0,0.0,1.0,11.666888687223,11.671654573124,11.57157096919,11.581102740993,102626000.0
2013-04-03,12.115,12.14,11.72,11.81,199765800.0,0.0,1.0,11.547741539682,11.57157096919,11.171236553452,11.257022499682,199765800.0
2013-04-04,11.81,11.99,11.72,11.94,117831400.0,0.0,1.0,11.257022499682,11.428594392141,11.171236553452,11.380935533124,117831400.0
2013-04-05,11.67,12.01,11.64,11.97,141061900.0,0.0,1.0,11.123577694436,11.447657935747,11.094982379026,11.409530848534,141061900.0
2013-04-08,12.0,12.21,11.91,12.21,101419200.0,0.0,1.0,11.438126163944,11.638293371813,11.352340217714,11.638293371813,101419200.0
2013-04-09,12.25,12.35,12.21,12.25,132365800.0,0.0,1.0,11.676420459026,11.771738177059,11.638293371813,11.676420459026,132365800.0
2013-04-10,12.31,12.4,12.26,12.32,105853900.0,0.0,1.0,11.733611089846,11.819397036075,11.685952230829,11.743142861649,105853900.0
2013-04-11,12.31,12.33,12.16,12.27,100241900.0,0.0,1.0,11.733611089846,11.752674633452,11.590634512797,11.695484002633,100241900.0
2013-04-12,12.145,12.25,12.07,12.17,88191700.0,0.0,1.0,11.576336855092,11.676420459026,11.504848566567,11.6001662846,88191700.0
2013-04-15,12.19,12.32,11.97,11.98,176504300.0,0.0,1.0,11.619229828206,11.743142861649,11.409530848534,11.419062620337,176504300.0
2013-04-16,12.21,12.36,12.08,12.28,147641900.0,0.0,1.0,11.638293371813,11.781269948862,11.51438033837,11.705015774436,147641900.0
2013-04-17,11.91,12.02,11.45,11.7,335408600.0,0.0,1.0,11.352340217714,11.457189707551,10.913878714763,11.152173009845,335408600.0
