Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-03-06,70.82,71.41,70.8,71.27,3522000.0,0.0,1.0,64.544968916893,65.082691758759,64.526741023948,64.955096508147,3522000.0
2013-03-07,71.63,72.36,71.445,72.17,4217300.0,0.0,1.0,65.28319858115,65.948516673629,65.114590571412,65.775351690655,4217300.0
2013-03-08,72.67,73.78,72.67,73.7,4927500.0,0.0,1.0,66.23104901427,67.242697072696,66.23104901427,67.169785500918,4927500.0
2013-03-11,73.36,73.935,72.95,73.86,3393200.0,0.0,1.0,66.859911320859,67.383963243017,66.486239515495,67.315608644475,3393200.0
2013-03-12,73.87,73.9,73.07,73.59,2988100.0,0.0,1.0,67.324722590947,67.352064430364,66.595606873162,67.069532089723,2988100.0
2013-03-13,73.73,74.02,73.54,73.95,3393800.0,0.0,1.0,67.197127340335,67.461431788032,67.023962357361,67.397634162726,3393800.0
2013-03-14,74.18,74.28,73.42,73.81,4589500.0,0.0,1.0,67.607254931589,67.698394396312,66.914594999693,67.270038912113,4589500.0
2013-03-15,73.57,73.86,73.33,73.46,5970700.0,0.0,1.0,67.051304196778,67.315608644475,66.832569481443,66.951050785583,5970700.0
2013-03-18,72.72,74.27,72.55,73.89,4259200.0,0.0,1.0,66.276618746632,67.68928044984,66.121681656602,67.342950483892,4259200.0
2013-03-19,74.07,74.37,73.43,74.03,4256600.0,0.0,1.0,67.507001520393,67.780419914563,66.923708946166,67.470545734504,4256600.0
2013-03-20,74.37,74.87,74.37,74.7,3635700.0,0.0,1.0,67.780419914563,68.236117238178,67.780419914563,68.081180148149,3635700.0
2013-03-21,74.59,75.0,74.44,74.59,4089000.0,0.0,1.0,67.980926736953,68.354598542318,67.844217539869,67.980926736953,4089000.0
2013-03-22,74.84,75.23,74.68,75.19,3605400.0,0.0,1.0,68.208775398761,68.564219311181,68.062952255204,68.527763525292,3605400.0
2013-03-25,75.45,75.755,74.37,74.86,4344100.0,0.0,1.0,68.764726133572,69.042701500977,67.780419914563,68.227003291706,4344100.0
2013-03-26,75.11,75.63,74.92,75.48,3433000.0,0.0,1.0,68.454851953514,68.928777170074,68.28168697054,68.792067972989,3433000.0
2013-03-27,75.03,75.2,74.58,75.17,2815600.0,0.0,1.0,68.381940381735,68.536877471764,67.971812790481,68.509535632347,2815600.0
2013-03-28,75.15,75.53,75.0,75.35,3490500.0,0.0,1.0,68.491307739403,68.837637705351,68.354598542318,68.673586668849,3490500.0
2013-04-01,75.2,75.28,74.1,74.33,3951200.0,0.0,1.0,68.536877471764,68.609789043543,67.53434335981,67.743964128673,3951200.0
2013-04-02,74.73,74.83,73.99,74.21,3563900.0,0.0,1.0,68.108521987566,68.199661452289,67.434089948615,67.634596771006,3563900.0
2013-04-03,74.48,74.57,73.18,73.33,4863300.0,0.0,1.0,67.880673325758,67.962698844009,66.695860284358,66.832569481443,4863300.0
2013-04-04,73.51,73.78,73.34,73.75,4249400.0,0.0,1.0,66.996620517944,67.242697072696,66.841683427915,67.215355233279,4249400.0
2013-04-05,72.69,73.16,72.43,72.98,4331500.0,0.0,1.0,66.249276907215,66.677632391413,66.012314298935,66.513581354912,4331500.0
2013-04-08,72.9495,73.61,72.78,73.55,3308700.0,0.0,1.0,66.485783818171,67.087759982667,66.331302425466,67.033076303833,3308700.0
2013-04-09,73.64,73.72,73.18,73.54,2926800.0,0.0,1.0,67.115101822084,67.188013393863,66.695860284358,67.023962357361,2926800.0
2013-04-10,73.53,74.44,73.3,74.41,4390100.0,0.0,1.0,67.014848410889,67.844217539869,66.805227642026,67.816875700452,4390100.0
2013-04-11,74.44,74.86,74.2,74.7,3177900.0,0.0,1.0,67.844217539869,68.227003291706,67.625482824533,68.081180148149,3177900.0
2013-04-12,74.38,74.5299,73.79,74.25,2143800.0,0.0,1.0,67.789533861035,67.926151918655,67.251811019169,67.671052556895,2143800.0
2013-04-15,73.87,73.92,72.18,72.2,3377200.0,0.0,1.0,67.324722590947,67.370292323309,65.784465637127,65.802693530072,3377200.0
2013-04-16,72.73,73.23,72.48,73.18,2473100.0,0.0,1.0,66.285732693104,66.741430016719,66.057884031296,66.695860284358,2473100.0
2013-04-17,72.74,72.74,71.42,71.89,3962700.0,0.0,1.0,66.294846639576,66.294846639576,65.091805705231,65.52016118943,3962700.0
2013-04-18,71.85,71.89,70.92,71.47,5337100.0,0.0,1.0,65.483705403541,65.52016118943,64.636108381616,65.137375437593,5337100.0
2013-04-19,73.72,74.44,72.66,74.18,6563400.0,0.0,1.0,67.188013393863,67.844217539869,66.221935067798,67.607254931589,6563400.0
2013-04-22,74.29,74.89,74.035,74.59,3767400.0,0.0,1.0,67.707508342784,68.254345131123,67.47510270774,67.980926736953,3767400.0
2013-04-23,75.0,75.0,73.7497,74.76,2911700.0,0.0,1.0,68.354598542318,68.354598542318,67.215081814885,68.135863826983,2911700.0
2013-04-24,74.97,75.17,74.63,74.83,3761500.0,0.0,1.0,68.327256702901,68.509535632347,68.017382522843,68.199661452289,3761500.0
2013-04-25,74.93,75.0453,74.43,74.53,5230600.0,0.0,1.0,68.290800917012,68.395884719838,67.835103593397,67.92624305812,5230600.0
